video_url,video_id,caption,like_count,comment_count,share_count
https://www.tiktok.com/@vutamduc/video/7582564372501826837,7582564372501826837,"Trước khi chết công chúa Mỵ Châu ngửa mặt lên trời mà xin rằng: “Nếu con là kẻ bất trung có lòng phản cha, phản nước thì khi chết thân xác con sẽ hóa thành tro bụi. Nếu tấm lòng con trong sáng khi con chết, thân xác sẽ hóa thành ngọc, thành đá trôi về hầu cha”. Mỵ Châu vô tình bị mắc mưu kế của Trọng Thủy nên hoàn toàn vô tội. Khi chết, máu của nàng chảy xuống biển. Các loài trai, sò ăn vào biến thành ngọc…",2165,2049,136
https://www.tiktok.com/@haitamthangpa/video/7581845542653742354,7581845542653742354,Mọi chuyện dần hoá điêng với Tú Bùi #Atus #anhtuatus ,1228,92,1998
https://www.tiktok.com/@achakrin/video/7582875582610869512,7582875582610869512,"ยายกวาดหน้าบ้านงูเลื้อยเข้าประตูรั้วยายตกใจวิ่งเข้าบ้าน
#ยาย #งู ",232,365,323
https://www.tiktok.com/@congchua1999x/video/7583197809130720520,7583197809130720520,Tập trước khi nấu ăn cho chồng vs mẹ chồng ăng @Võ Văn Việt,1654,838,7508
https://www.tiktok.com/@bovamoon/video/7582567854759873810,7582567854759873810,Quay được cái vid tiktok cũng vất vả phết các bạn ạ. Hậu trường quay tiktok của Moon và Ali ,1985,678,123
https://www.tiktok.com/@plxh.vn/video/7582574594154827038,7582574594154827038,May mắn nhân đôi nhưng...😂 #giaothong #vanhoagiaothong #luatgiaothong #csgt #mayman ,2801,701,113
https://www.tiktok.com/@bongtim96/video/7582955238122867975,7582955238122867975,Mấy từ cho bộ ảnh được đầu tư cực đỉnh này đây ạ,3461,6713,496
https://www.tiktok.com/@khanhhuyenduylinh/video/7582205757643394335,7582205757643394335,,253,19,3
https://www.tiktok.com/@congngheso212/video/7582322889798487316,7582322889798487316,,,,
https://www.tiktok.com/@phongvangioitre.spx/video/7581140452791962898,7581140452791962898,Tam Thái tử suýt có ny và cái kết ,3304,5458,389
https://www.tiktok.com/@lebaoofficial/video/7581839903466474760,7581839903466474760,,,,
